id,Story,StoryText,user,fun,goal,nonfun
2173,story 2173,"As a UI designer, I want to report to the Agencies about customer testing, so that they are aware of their contributions to making Broker a better UX.",UI designer, report to the Agencies , they are aware of ,better
2174,story 2174,"As a UI designer, I want to report to the Agencies about client testing, so that they are aware of their contributions to making Broker a better UX.",UI designer, report to the Agencies , they are aware of ,better
2175,story 2175,"As a UI designer, I want to report to the Agencies about end user testing, so that they are aware of their contributions to making Broker a better UX.",UI designer, report to the Agencies , they are aware of ,better
2176,story 2176,"As a UI designer, I want to report to the Agencies about user testing, so that they are aware of their contributions to making Broker a best UX.",UI designer, report to the Agencies , they are aware of ,best
2177,story 2177,"As a app developer, I want to be able to log better, so that I can troubleshoot issues with particular submissions and functions.",app developer, be able to log , troubleshoot issues with particular ,better
2178,story 2178,"As a application developer, I want to be able to log better, so that I can troubleshoot issues with particular submissions and functions.",application developer, be able to log , troubleshoot issues with particular ,better
2179,story 2179,"As a Developer, I want to be able to log best, so that I can troubleshoot issues with particular submissions and functions.",Developer, be able to log , troubleshoot issues with particular ,best
2180,story 2180,"As a app developer, I want to add the updates on a FABS submission to be modified when the publishStatus changes, so that I know when the status of the submission has changed.",app developer, add the updates on , I know when the ,NULL
2181,story 2181,"As a application developer, I want to add the updates on a FABS submission to be modified when the publishStatus changes, so that I know when the status of the submission has changed.",application developer, add the updates on , I know when the ,NULL
2182,story 2182,"As a Broker customer, I want to Upload and Validate the error message to have accurate text.",Broker customer, to Upload and Validate ,NULL,NULL
2183,story 2183,"As a Broker client, I want to Upload and Validate the error message to have accurate text.",Broker client, to Upload and Validate ,NULL,NULL
2184,story 2184,"As a Broker end user, I want to Upload and Validate the error message to have accurate text.",Broker end user, to Upload and Validate ,NULL,NULL
2185,story 2185,"As a Broker customer, I want the D1 file generation to be synced with the FPDS data load, so that I don't have to regenerate a file if no data has been updated.",Broker customer, be synced with the , I don't have to ,NULL
2186,story 2186,"As a Broker client, I want the D1 file generation to be synced with the FPDS data load, so that I don't have to regenerate a file if no data has been updated.",Broker client, be synced with the , I don't have to ,NULL
2187,story 2187,"As a Broker end user, I want the D1 file generation to be synced with the FPDS data load, so that I don't have to regenerate a file if no data has been updated.",Broker end user, be synced with the , I don't have to ,NULL
2188,story 2188,"As a Website customer, I want to access published FABS files, so that I can see the new filesAs they come in.",Website customer, access published FABS files, see the new filesAs ,NULL
2189,story 2189,"As a Website client, I want to access published FABS files, so that I can see the new filesAs they come in.",Website client, access published FABS files, see the new filesAs ,NULL
